Marker	Graph	Xaxis	sort
Bo1g001000.1	C01	1449	1
Bo1g001010.1	C01	1711	2
Bo1g001020.1	C01	2875	3
Bo1g001030.1	C01	4096	4
Bo1g001040.1	C01	7519	5
Bo1g001050.1	C01	9720	6
Bo1g001060.1	C01	13442	7
Bo1g001070.1	C01	32747	8
Bo1g001080.1	C01	37620	9
Bo1g001090.1	C01	39858	10
Bo1g001100.1	C01	46852	11
Bo1g001110.1	C01	56994	12
Bo1g001120.1	C01	59010	13
Bo1g001130.1	C01	60105	14
Bo1g001140.1	C01	68965	15
Bo1g002140.1	C01	101262	16
Bo1g002150.1	C01	103201	17
Bo1g002160.1	C01	104706	18
Bo1g002170.1	C01	106807	19
Bo1g002180.1	C01	112301	20
Bo1g002190.1	C01	112982	21
Bo1g002200.1	C01	124351	22
BnaC01g00020D	C01	128563	23
Bo1g002210.1	C01	128563	24
Bo1g002220.1	C01	130440	25
Bo1g002230.1	C01	134318	26
Bo1g002240.1	C01	136068	27
Bo1g002250.1	C01	137577	28
Bo1g002260.1	C01	143166	29
Bo1g002270.1	C01	146725	30
Bo1g002280.1	C01	148961	31
Bo1g002290.1	C01	152224	32
Bo1g002300.1	C01	153250	33
Bo1g002310.1	C01	164958	34
Bo1g002320.1	C01	171288	35
Bo1g002330.1	C01	172779	36
Bo1g002340.1	C01	175196	37
BnaC01g00160D	C01	180688	38
Bo1g002350.1	C01	181177	39
Bo1g002360.1	C01	183323	40
Bo1g002370.1	C01	184847	41
Bo1g002380.1	C01	187906	42
Bo1g002390.1	C01	189713	43
Bo1g002400.1	C01	191317	44
Bo1g002410.1	C01	192637	45
Bo1g002420.1	C01	195435	46
Bo1g002430.1	C01	198178	47
Bo1g002440.1	C01	201151	48
Bo1g002450.1	C01	202463	49
Bo1g002460.1	C01	205351	50
Bo1g002470.1	C01	206881	51
Bo1g002480.1	C01	209076	52
Bo1g002490.1	C01	210647	53
BnaC01g00320D	C01	211042	54
Bo1g002500.1	C01	216852	55
Bo1g002510.1	C01	223558	56
BnaC01g00360D	C01	226682	57
Bo1g002520.1	C01	228012	58
Bo1g002530.1	C01	237167	59
Bo1g002540.1	C01	268432	60
Bo1g002550.1	C01	278884	61
Bo1g002560.1	C01	294476	62
Bo1g002570.1	C01	298888	63
Bo1g002580.1	C01	303111	64
Bo1g002590.1	C01	305351	65
Bo1g002600.1	C01	307305	66
Bo1g002610.1	C01	311161	67
Bo1g002620.1	C01	312999	68
Bo1g002630.1	C01	315809	69
Bo1g002640.1	C01	318794	70
Bo1g002650.1	C01	321166	71
Bo1g002660.1	C01	326250	72
Bo1g002670.1	C01	327846	73
Bo1g002680.1	C01	332921	74
Bo1g002690.1	C01	335055	75
Bo1g002700.1	C01	338267	76
Bo1g002710.1	C01	341809	77
Bo1g002720.1	C01	343002	78
Bo1g002730.1	C01	348332	79
Bo1g002740.1	C01	355639	80
Bo1g002750.1	C01	356379	81
Bo1g002760.1	C01	362097	82
